id,country_code,year,access_to_clean_water,"Government expenditure on education, total (% of GDP)",unemployment_rate,"Unemployment, total (% of total labor force) (national estimate)"
1,ABW,2021,100.0,,,
2,ABW,2022,99.9,,,
3,AFE,2021,48.1272110400485,4.77132606506347,8.57738499231761,
4,AFE,2022,48.7420429375177,4.62862396240234,7.98520225155097,
5,AFE,2023,,,7.80636542181196,
6,AFG,2021,97.7,,11.994,5.679
7,AFG,2022,85.3,,14.1,
8,AFG,2023,,,13.991,
9,AFW,2021,54.368598708444,3.20348429679871,4.73673176237333,
10,AFW,2022,55.5889080239262,2.90529441833496,3.65857318082157,3.16431955231438
11,AFW,2023,,,3.27724546605141,
12,AGO,2021,48.2,2.2971088886261,15.799,15.799
13,AGO,2022,48.5,2.3321259021759,14.602,14.124
14,AGO,2023,,,14.537,
15,ALB,2021,100.0,3.02255988121033,11.474,11.474
16,ALB,2022,100.0,2.74432992935181,10.137,10.785
17,ALB,2023,,,10.108,10.669
18,AND,2021,100.0,2.58397221565247,,
19,AND,2022,100.0,2.64728999137878,,
20,AND,2023,,1.92790997028351,,
21,ARB,2021,90.4340947732985,,10.8896587837575,
22,ARB,2022,90.6545179070033,,9.9535706462442,
23,ARB,2023,,,9.59035028813167,
24,ARE,2021,100.0,3.89403009414673,3.105,3.105
25,ARE,2022,100.0,,2.872,2.873
26,ARE,2023,,,2.151,2.151
27,ARG,2021,100.0,4.64117002487183,8.736,8.736
28,ARG,2022,100.0,4.80521011352539,6.805,6.805
29,ARG,2023,,,6.139,6.139
30,ARM,2021,100.0,2.76784992218018,15.469,8.418
31,ARM,2022,100.0,2.4918999671936,13.379,
32,ARM,2023,,0.242599993944168,13.245,
33,ATG,2021,100.0,2.5746488571167,,
34,ATG,2022,100.0,3.6477484703064,,
35,AUS,2021,100.0,5.33320999145508,5.116,5.023
36,AUS,2022,100.0,5.20677661895752,3.728,3.728
37,AUS,2023,,,3.668,3.668
38,AUT,2021,100.0,5.49411010742188,6.459,6.459
39,AUT,2022,100.0,4.77447128295898,4.992,4.992
40,AUT,2023,,,5.264,5.264
41,AZE,2021,100.0,3.7020800113678,6.04,6.04
42,AZE,2022,100.0,3.04690003395081,5.65,5.65
43,AZE,2023,,3.58290028572083,5.636,
44,BDI,2021,10.2,4.87114191055298,1.118,
45,BDI,2022,10.3,4.82104730606079,0.915,
46,BDI,2023,,,0.921,
47,BEL,2021,100.0,6.35551977157593,6.248,6.248
48,BEL,2022,100.0,,5.57,5.57
49,BEL,2023,,,5.528,5.528
50,BEN,2021,42.0,3.20348429679871,1.779,
51,BEN,2022,56.5,3.37785911560059,1.685,1.685
52,BEN,2023,,,1.657,
53,BFA,2021,19.0,5.22401523590088,5.2,
54,BFA,2022,19.5,5.27651214599609,5.389,1.927
55,BFA,2023,,,5.348,5.348
56,BGD,2021,99.0,1.83117997646332,5.327,
57,BGD,2022,99.4,1.71183669567108,4.593,4.593
58,BGD,2023,,1.7752274274826,4.454,
59,BGR,2021,99.8,4.73032999038696,5.267,5.267
60,BGR,2022,100.0,,4.268,4.268
61,BGR,2023,,,4.319,4.319
62,BHR,2021,100.0,2.22135806083679,1.541,
63,BHR,2022,100.0,1.98779726028442,1.326,
64,BHR,2023,,,1.154,
65,BHS,2021,100.0,3.00693249702454,11.032,
66,BHS,2022,100.0,2.83657622337341,9.272,
67,BHS,2023,,,8.643,8.643
68,BIH,2021,100.0,4.13622999191284,14.897,14.897
69,BIH,2022,100.0,,12.657,12.657
70,BIH,2023,,,10.668,10.668
71,BLR,2021,100.0,4.60641002655029,3.9,3.9
72,BLR,2022,100.0,4.62823009490967,3.574,3.574
73,BLR,2023,,4.9514799118042,3.461,3.461
74,BLZ,2021,97.7,5.94879007339478,10.322,
75,BLZ,2022,98.6,4.59650993347168,8.763,
76,BLZ,2023,,4.25564002990723,8.267,
77,BMU,2021,100.0,1.88491690158844,,
78,BMU,2022,100.0,1.92221343517303,,
79,BMU,2023,,1.93364679813385,,
80,BOL,2021,98.6,7.96215009689331,5.089,5.089
81,BOL,2022,99.9,7.57550001144409,3.552,3.552
82,BOL,2023,,,3.024,3.024
83,BRA,2021,99.5,5.4969801902771,13.158,13.159
84,BRA,2022,100.0,,9.231,9.231
85,BRA,2023,,,7.947,7.947
86,BRB,2021,100.0,4.863609790802,9.433,11.015
87,BRB,2022,100.0,4.41624021530151,8.365,
88,BRB,2023,,4.04476022720337,7.878,
89,BRN,2021,100.0,,4.905,4.905
90,BRN,2022,100.0,,5.191,5.191
91,BRN,2023,,,5.183,5.296
92,BTN,2021,100.0,6.59838628768921,4.803,4.804
93,BTN,2022,100.0,7.46982002258301,5.947,5.947
94,BTN,2023,,5.84518575668335,3.126,3.126
95,BWA,2021,73.7,,23.106,23.106
96,BWA,2022,75.9,,23.615,23.615
97,BWA,2023,,,23.381,23.381
98,CAF,2021,15.7,1.87251687049866,6.375,
99,CAF,2022,15.7,2.11509132385254,5.956,
100,CAF,2023,,,5.877,
101,CAN,2021,100.0,4.74860000610352,7.527,7.527
102,CAN,2022,100.0,4.13957166671753,5.279,5.28
103,CAN,2023,,,5.415,5.415
104,CEB,2021,99.9863330202674,4.68406009674072,4.46317615361708,4.46317615361708
105,CEB,2022,100.0,,3.98425299925656,3.98428380332067
106,CEB,2023,,,4.01405105340076,4.01484038583714
107,CHE,2021,100.0,5.03708982467651,5.013,5.013
108,CHE,2022,100.0,4.88824462890625,4.122,4.122
109,CHE,2023,,,4.043,4.043
110,CHI,2021,100.0,,6.875,
111,CHI,2022,100.0,,6.147,
112,CHI,2023,,,6.187,
113,CHL,2021,100.0,4.99923992156982,9.281,9.281
114,CHL,2022,100.0,,8.249,8.249
115,CHL,2023,,,9.013,9.013
116,CHN,2021,100.0,3.98832511901855,4.55,5.11
117,CHN,2022,100.0,4.02356958389282,4.98,
118,CHN,2023,,,4.67,
119,CIV,2021,71.1,3.32718992233276,2.63,
120,CIV,2022,70.4,3.51197004318237,2.306,2.31
121,CIV,2023,,3.42992997169495,2.27,
122,CMR,2021,65.4,2.82764077186584,3.973,3.275
123,CMR,2022,71.0,2.61768436431885,3.653,
124,CMR,2023,,,3.613,
125,COD,2021,20.8,2.660484790802,5.28,
126,COD,2022,21.5,3.002521276474,4.522,
127,COD,2023,,,4.484,
128,COG,2021,49.7,3.67454195022583,21.96,
129,COG,2022,50.6,2.95159220695496,20.108,
130,COG,2023,,,19.898,
131,COL,2021,100.0,,13.898,13.898
132,COL,2022,100.0,,10.547,10.547
133,COL,2023,,,9.594,9.603
134,COM,2021,87.9,2.27485394477844,4.394,4.394
135,COM,2022,89.9,2.43164420127869,3.816,
136,COM,2023,,,3.776,
137,CPV,2021,95.5,6.03750085830688,13.976,
138,CPV,2022,97.1,4.67288541793823,12.246,
139,CPV,2023,,,11.971,
140,CRI,2021,100.0,6.24841976165771,15.139,15.139
141,CRI,2022,100.0,,11.325,11.325
142,CRI,2023,,,8.325,8.325
143,CSS,2021,97.37247591198,,12.1918110382587,
144,CSS,2022,97.5677686607558,,10.4686964684357,
145,CSS,2023,,,9.68042872002248,
146,CUB,2021,100.0,9.38586235046387,2.116,
147,CUB,2022,100.0,,1.82,
148,CUB,2023,,,1.719,
149,CUW,2021,100.0,,,
150,CUW,2022,100.0,,,
151,CYM,2021,100.0,1.31253004074097,,
152,CYM,2022,100.0,1.48894000053406,,
153,CYP,2021,100.0,5.23585987091064,7.513,7.513
154,CYP,2022,100.0,,6.806,6.807
155,CYP,2023,,,6.098,5.835
156,CZE,2021,100.0,4.80319976806641,2.803,2.803
157,CZE,2022,100.0,,2.224,2.224
158,CZE,2023,,,2.579,2.58
159,DEU,2021,100.0,5.45488977432251,3.594,3.594
160,DEU,2022,100.0,4.54389047622681,3.12,3.12
161,DEU,2023,,,3.068,3.068
162,DJI,2021,65.4,,27.668,
163,DJI,2022,65.0,,26.307,
164,DJI,2023,,,26.154,
165,DMA,2021,100.0,5.46584510803223,,
166,DMA,2022,100.0,6.04314231872559,,
167,DMA,2023,,4.65674114227295,,
168,DNK,2021,100.0,6.99992990493774,5.043,5.043
169,DNK,2022,100.0,5.29643440246582,4.434,4.434
170,DNK,2023,,,5.094,5.094
171,DOM,2021,98.1,3.74731349945068,7.702,7.702
172,DOM,2022,98.1,3.94027137756348,5.504,5.504
173,DOM,2023,,,5.555,5.555
174,DZA,2021,99.8,5.51403284072876,13.63,
175,DZA,2022,100.0,4.74924659729004,12.346,
176,DZA,2023,,5.61015701293945,11.701,
177,EAP,2021,97.9599209910295,2.98212432861328,4.12248591657027,4.54934786668444
178,EAP,2022,98.029656910797,2.88738679885864,4.22329838547477,
179,EAP,2023,,2.95115232467651,3.97239658895814,
180,EAR,2021,95.2423338887017,3.87249755859375,6.78633395860379,6.64266829633951
181,EAR,2022,95.1445282423272,3.61778378486633,5.71415089065227,5.60383750341637
182,EAR,2023,,,5.2602661302477,5.17835618086222
183,EAS,2021,98.1534259112018,3.33563995361328,4.05434245252657,4.43469657074071
184,EAS,2022,98.2159982994005,3.36847960948944,4.08953119146494,
185,EAS,2023,,,3.85771244035512,
186,ECA,2021,99.9616995610703,4.13622999191284,9.01039307351182,9.95991761251761
187,ECA,2022,99.9915983455152,4.10659122467041,7.81560463809743,
188,ECA,2023,,4.9514799118042,7.33376867158914,
189,ECS,2021,99.9881230235836,4.7901701927185,6.90965916550803,6.9366686527733
190,ECS,2022,99.9977343798245,4.54389047622681,5.85828628199525,5.8330717013591
191,ECS,2023,,,5.58873341804014,5.56992854863256
192,ECU,2021,100.0,3.64776992797852,4.552,4.504
193,ECU,2022,100.0,3.59897994995117,3.761,3.713
194,ECU,2023,,3.89365005493164,3.51,3.51
195,EGY,2021,100.0,,7.441,7.441
196,EGY,2022,100.0,,7.344,7.344
197,EGY,2023,,,7.334,6.753
198,EMU,2021,100.0,5.05046486854553,7.72209813329502,7.7215829402274
199,EMU,2022,100.0,,6.74901273938354,6.74811449074283
200,EMU,2023,,,6.5646094180748,6.56231846699686
201,ERI,2021,52.5,,6.177,
202,ERI,2022,55.4,,5.695,
203,ERI,2023,,,5.586,
204,ESP,2021,100.0,4.86506986618042,14.781,14.781
205,ESP,2022,100.0,4.31587886810303,12.917,12.917
206,ESP,2023,,,12.179,12.179
207,EST,2021,100.0,5.2632098197937,6.178,6.178
208,EST,2022,100.0,,5.571,5.571
209,EST,2023,,,6.378,6.378
210,ETH,2021,54.2,4.06524896621704,3.935,3.935
211,ETH,2022,55.0,3.73649501800537,3.409,
212,ETH,2023,,,3.402,
213,EUU,2021,99.9969197066502,4.80319976806641,7.01183843029148,7.01143906960952
214,EUU,2022,100.0,,6.14302856971608,6.14233076507892
215,EUU,2023,,,6.02944529696582,6.02780114319405
216,FCS,2021,57.8332255929662,3.67454195022583,6.77761944075494,
217,FCS,2022,57.9092443338508,,5.60917621194441,
218,FCS,2023,,,5.20087833966654,
219,FIN,2021,100.0,6.53825998306274,7.617,7.617
220,FIN,2022,100.0,,6.719,6.719
221,FIN,2023,,,7.151,7.151
222,FJI,2021,92.1,4.85268640518188,4.701,
223,FJI,2022,92.0,3.93839550018311,4.446,
224,FJI,2023,,4.24679803848267,4.322,
225,FRA,2021,100.0,5.43038988113403,7.874,7.871
226,FRA,2022,100.0,,7.308,7.303
227,FRA,2023,,,7.335,7.335
228,FRO,2021,100.0,,,
229,FRO,2022,100.0,,,
230,FSM,2021,83.6,,,
231,FSM,2022,85.3,,,
232,GAB,2021,91.8,2.70079278945923,21.218,
233,GAB,2022,93.5,2.20773649215698,20.399,
234,GAB,2023,,,20.278,
235,GBR,2021,100.0,5.90458011627197,4.826,4.865
236,GBR,2022,100.0,4.95917558670044,3.73,3.768
237,GBR,2023,,,3.984,4.025
238,GEO,2021,100.0,3.59441995620728,11.791,
239,GEO,2022,100.0,3.75498008728027,11.647,
240,GEO,2023,,3.73861002922058,11.537,
241,GHA,2021,86.3,3.41949439048767,3.384,3.195
242,GHA,2022,85.1,2.90529441833496,3.084,2.87
243,GHA,2023,,,3.063,
244,GIB,2021,100.0,,,
245,GIB,2022,100.0,,,
246,GIN,2021,46.8,2.04074811935425,5.827,
247,GIN,2022,47.7,1.98561489582062,5.267,
248,GIN,2023,,,5.244,
249,GMB,2021,63.7,3.04477691650391,6.269,
250,GMB,2022,65.4,2.74282312393188,6.076,
251,GMB,2023,,2.69659471511841,6.479,6.479
252,GNB,2021,35.8,,3.031,
253,GNB,2022,37.4,,2.666,2.666
254,GNB,2023,,,2.65,
255,GNQ,2021,66.8,,8.976,
256,GNQ,2022,67.0,,8.455,
257,GNQ,2023,,,8.367,
258,GRC,2021,100.0,4.08201456069946,14.656,14.657
259,GRC,2022,100.0,,12.426,12.426
260,GRC,2023,,,11.066,11.023
261,GRD,2021,93.7,4.09030342102051,,13.035
262,GRD,2022,94.2,3.93536496162415,,
263,GRD,2023,,,,6.34
264,GRL,2021,100.0,,,
265,GRL,2022,100.0,,,
266,GTM,2021,97.9,3.10634994506836,2.174,2.174
267,GTM,2022,99.1,3.22940993309021,3.051,3.051
268,GTM,2023,,3.17938995361328,2.344,2.344
269,GUM,2021,100.0,,5.991,
270,GUM,2022,100.0,,5.454,
271,GUM,2023,,,5.363,
272,GUY,2021,92.9,,14.557,
273,GUY,2022,93.0,,12.013,
274,GUY,2023,,,12.025,
275,HIC,2021,99.9797671921069,4.80319976806641,5.52627993407203,5.56223172935179
276,HIC,2022,99.9797265292838,,4.47915987611736,4.50499449531726
277,HIC,2023,,,4.32742379174678,4.35977463623864
278,HKG,2021,100.0,4.00030994415283,5.174,5.174
279,HKG,2022,100.0,3.72866010665894,4.318,4.318
280,HKG,2023,,3.80310010910034,2.949,2.949
281,HND,2021,94.1,5.81050157546997,8.506,8.506
282,HND,2022,94.4,4.44157886505127,8.774,8.774
283,HND,2023,,4.04616022109985,6.07,6.071
284,HPC,2021,48.0199412207435,3.37334215641022,4.99025451599025,
285,HPC,2022,48.6142457774215,3.44491457939148,4.44664203690213,
286,HPC,2023,,,4.22661765181006,
287,HRV,2021,100.0,4.05666017532349,7.608,7.608
288,HRV,2022,100.0,,6.96,6.96
289,HRV,2023,,,6.086,6.086
290,HTI,2021,47.2,1.24275183677673,15.28,
291,HTI,2022,49.3,1.27466893196106,14.635,
292,HTI,2023,,,14.556,
293,HUN,2021,100.0,4.68406009674072,4.045,4.045
294,HUN,2022,100.0,,3.609,3.609
295,HUN,2023,,,4.107,4.107
296,IBD,2021,99.1095265515065,3.99156606197357,6.33890972820408,6.44650178199768
297,IBD,2022,98.9687616451153,3.74442005157471,5.60153415826182,5.74849307226586
298,IBD,2023,,,5.16481549355938,
299,IBT,2021,90.0209807963201,3.83533418178559,6.17168860176086,6.32672599649243
300,IBT,2022,89.9492953913669,3.59078752994538,5.42390521920667,
301,IBT,2023,,,5.03559497830806,
302,IDA,2021,65.598211852635,3.26533710956573,5.63088102209667,
303,IDA,2022,66.1102001807559,3.44491457939148,4.86219567527372,
304,IDA,2023,,,4.6258035699256,
305,IDB,2021,76.7309985115853,2.9738941192627,5.98291664974636,
306,IDB,2022,77.3201892139766,2.95159220695496,4.93203945664766,
307,IDB,2023,,,4.51808369615567,
308,IDN,2021,99.2,1.03221750259399,3.827,3.827
309,IDN,2022,100.0,0.863943338394165,3.462,3.462
310,IDN,2023,,1.27517092227936,3.308,3.308
311,IDX,2021,60.0180074994697,3.32718992233276,5.44549655001938,
312,IDX,2022,60.5063653924991,3.51197004318237,4.82557394978687,
313,IDX,2023,,,4.68393546436256,
314,IMN,2021,100.0,,,
315,IMN,2022,100.0,,,
316,IND,2021,99.6,4.63514137268066,6.38,6.38
317,IND,2022,99.2,4.12072849273682,4.822,4.822
318,IND,2023,,,4.172,4.172
319,IRL,2021,100.0,3.00598001480103,6.364,6.364
320,IRL,2022,100.0,,4.501,4.501
321,IRL,2023,,,4.288,4.288
322,IRN,2021,100.0,,9.282,9.282
323,IRN,2022,100.0,3.06036734580994,9.085,9.085
324,IRN,2023,,2.92892384529114,9.041,
325,IRQ,2021,100.0,,16.173,16.173
326,IRQ,2022,100.0,,15.511,
327,IRQ,2023,,,15.447,
328,ISL,2021,100.0,8.21780967712402,6.029,6.029
329,ISL,2022,100.0,7.13966512680054,3.789,3.789
330,ISL,2023,,,3.518,3.518
331,ISR,2021,100.0,6.18401002883911,4.812,4.812
332,ISR,2022,100.0,6.45624446868896,3.695,3.695
333,ISR,2023,,,3.596,3.371
334,ITA,2021,100.0,4.21828985214233,9.497,9.497
335,ITA,2022,100.0,,8.069,8.069
336,ITA,2023,,,7.627,7.627
337,JAM,2021,100.0,5.63123989105225,5.188,5.188
338,JAM,2022,100.0,5.35435009002686,4.083,4.083
339,JAM,2023,,5.65453672409058,4.4,3.022
340,JOR,2021,99.9,3.13837003707886,19.837,19.837
341,JOR,2022,100.0,3.16022992134094,18.2,18.2
342,JOR,2023,,,17.969,16.622
343,JPN,2021,100.0,3.33563995361328,2.828,2.809
344,JPN,2022,100.0,3.23762130737305,2.6,2.615
345,JPN,2023,,,2.6,2.6
346,KAZ,2021,100.0,4.38569402694702,5.546,
347,KAZ,2022,100.0,4.45820236206055,4.86,4.86
348,KAZ,2023,,,4.821,
349,KEN,2021,76.5,4.89040184020996,5.693,5.693
350,KEN,2022,76.0,4.51101779937744,5.707,
351,KEN,2023,,3.96229314804077,5.567,
352,KGZ,2021,99.7,6.17235136032104,4.096,5.149
353,KGZ,2022,99.7,7.1688437461853,4.043,4.767
354,KGZ,2023,,6.82694673538208,3.991,
355,KHM,2021,82.5,3.01162648200989,0.396,0.396
356,KHM,2022,92.3,2.88349270820618,0.231,
357,KHM,2023,,2.95115232467651,0.225,
358,KIR,2021,92.8,14.1951599121094,,
359,KIR,2022,94.4,,,
360,KNA,2021,100.0,2.78379011154175,,
361,KNA,2022,100.0,3.63147068023682,,
362,KOR,2021,100.0,4.86627006530762,3.639,3.639
363,KOR,2022,100.0,,2.857,2.857
364,KOR,2023,,,2.675,2.675
365,KWT,2021,100.0,7.76246690750122,3.002,
366,KWT,2022,100.0,6.58236503601074,2.174,
367,KWT,2023,,5.02626085281372,2.127,
368,LAC,2021,98.1372854860676,4.16809344291687,9.23355868723715,9.28039725103236
369,LAC,2022,98.4758275506394,3.8139615058899,6.90218174932878,6.89505518094411
370,LAC,2023,,,6.11953093081959,6.04310814337263
371,LAO,2021,100.0,1.85949182510376,2.066,
372,LAO,2022,100.0,1.46083438396454,1.209,1.209
373,LAO,2023,,1.23375165462494,1.188,
374,LBN,2021,100.0,,12.669,
375,LBN,2022,100.0,,11.6,
376,LBN,2023,,,11.543,
377,LBR,2021,29.8,2.11186790466309,3.845,
378,LBR,2022,31.8,2.27609586715698,2.977,
379,LBR,2023,,,2.933,
380,LBY,2021,70.2,,19.641,
381,LBY,2022,70.0,,19.282,
382,LBY,2023,,,18.753,
383,LCA,2021,100.0,,20.514,20.514
384,LCA,2022,100.0,3.69847011566162,15.934,15.934
385,LCA,2023,,,11.092,12.094
386,LCN,2021,98.2756263192893,4.16809344291687,9.15752048997139,9.27236398495309
387,LCN,2022,98.5788713134359,3.79476308822632,6.91530046339274,6.94738631157158
