id,country_code,year,access_to_clean_water,"Government expenditure on education, total (% of GDP)",unemployment_rate,"Unemployment, total (% of total labor force) (national estimate)"
388,LCN,2023,,,6.20743027327999,6.15985508925149
389,LDC,2021,56.1055373553461,3.11079275608063,5.75302416584841,
390,LDC,2022,56.7048565352677,3.23824501037598,5.08844456845939,
391,LDC,2023,,,4.94642314711997,
392,LIC,2021,44.9719731908846,3.94350361824036,5.70873263357671,
393,LIC,2022,45.1134101816937,3.76730716228485,5.07394035163588,
394,LIC,2023,,,4.9067296311379,
395,LIE,2021,100.0,,,
396,LIE,2022,100.0,,,
397,LKA,2021,100.0,1.50650584697723,4.981,4.981
398,LKA,2022,100.0,1.20397222042084,4.528,4.528
399,LKA,2023,,1.82774567604065,5.997,
400,LMC,2021,90.59021272637,3.32718992233276,6.0122012019493,6.16477114112827
401,LMC,2022,90.5967778011066,3.44491457939148,4.8436880217257,4.76042778375827
402,LMC,2023,,,4.4022140714888,
403,LMY,2021,89.4849996139745,3.82175827026367,6.19361989007564,6.39774136817258
404,LMY,2022,89.4252588465316,3.59078752994538,5.45251358879628,
405,LMY,2023,,,5.05976552198271,
406,LSO,2021,50.4,7.50747919082642,18.23,
407,LSO,2022,50.0,6.43347549438477,16.688,
408,LSO,2023,,6.69212198257446,16.457,
409,LTE,2021,99.4116791707221,4.38569402694702,5.49510544394083,5.84684780938588
410,LTE,2022,99.4771761425239,4.05402755737305,5.1827288093095,
411,LTE,2023,,,4.80560627805011,
412,LTU,2021,100.0,4.25490999221802,7.112,7.112
413,LTU,2022,100.0,,5.955,5.956
414,LTU,2023,,,6.841,6.841
415,LUX,2021,100.0,3.71989011764526,5.571,5.571
416,LUX,2022,100.0,4.70302200317383,4.588,4.588
417,LUX,2023,,,5.184,5.184
418,LVA,2021,100.0,4.61546993255615,7.513,7.513
419,LVA,2022,100.0,,6.815,6.815
420,LVA,2023,,,6.465,6.465
421,MAC,2021,100.0,5.10697984695435,2.229,
422,MAC,2022,100.0,6.18937015533447,2.482,
423,MAC,2023,,,2.235,
424,MAF,2021,100.0,,,
425,MAF,2022,100.0,,,
426,MAR,2021,100.0,5.64273405075073,10.576,12.28
427,MAR,2022,100.0,5.91224670410156,9.494,11.79
428,MAR,2023,,6.02096939086914,9.044,
429,MCO,2021,100.0,1.41878998279572,,
430,MCO,2022,100.0,1.17324995994568,,
431,MDA,2021,100.0,5.82405996322632,0.785,0.794
432,MDA,2022,100.0,6.11053991317749,0.897,0.909
433,MDA,2023,,6.25268602371216,1.555,1.57
434,MDG,2021,35.1,3.19807553291321,3.487,
435,MDG,2022,36.1,3.13901996612549,3.186,3.186
436,MDG,2023,,,3.069,
437,MDV,2021,100.0,4.61379766464233,5.024,
438,MDV,2022,100.0,4.67344331741333,4.419,
439,MDV,2023,,5.16706371307373,4.241,
440,MEA,2021,97.055627851031,,10.2348915008261,9.05326150150813
441,MEA,2022,97.1470983807294,,9.59898977494279,
442,MEA,2023,,,9.12057231205856,
443,MEX,2021,100.0,4.24952983856201,4.019,4.019
444,MEX,2022,100.0,,3.256,3.256
445,MEX,2023,,,2.765,2.765
446,MHL,2021,99.8,,,9.823
447,MHL,2022,100.0,7.54093980789185,,
448,MIC,2021,94.8381761414164,3.74731349945068,6.24057366273373,6.46191928251887
449,MIC,2022,94.8551931473528,3.58109796047211,5.49003888963743,
450,MIC,2023,,,5.07451236816572,
451,MKD,2021,100.0,,15.801,15.801
452,MKD,2022,100.0,,14.476,14.477
453,MKD,2023,,,13.174,13.174
454,MLI,2021,53.4,4.36370992660522,3.966,
455,MLI,2022,53.0,4.03505516052246,2.387,2.387
456,MLI,2023,,,2.956,
457,MLT,2021,100.0,5.36479997634888,3.394,3.403
458,MLT,2022,100.0,,2.921,2.929
459,MLT,2023,,,3.11,3.11
460,MMR,2021,72.5,,4.34,
461,MMR,2022,73.7,,3.057,
462,MMR,2023,,,3.032,
463,MNA,2021,96.6183164116232,,11.7584549541875,10.4801022269605
464,MNA,2022,96.7125182473811,,11.1820203083755,
465,MNA,2023,,,10.8670875152924,
466,MNE,2021,99.8,,16.543,16.543
467,MNE,2022,100.0,,14.851,14.852
468,MNE,2023,,,14.621,
469,MNG,2021,100.0,3.34389615058899,7.747,7.871
470,MNG,2022,100.0,4.18056726455688,6.211,5.954
471,MNG,2023,,3.74101543426514,5.503,5.178
472,MNP,2021,100.0,,,
473,MNP,2022,100.0,,,
474,MOZ,2021,31.5,6.49789762496948,4.053,
475,MOZ,2022,33.2,6.16198396682739,3.596,6.789
476,MOZ,2023,,,3.519,
477,MRT,2021,47.7,1.891970038414,11.144,
478,MRT,2022,49.0,2.44024252891541,10.531,
479,MRT,2023,,2.64603042602539,10.446,
480,MUS,2021,99.6,4.67151021957397,7.719,7.719
481,MUS,2022,100.0,4.84085988998413,6.322,6.322
482,MUS,2023,,4.56763982772827,5.571,5.571
483,MWI,2021,14.2,,5.662,
484,MWI,2022,14.0,,5.037,
485,MWI,2023,,,5.033,
486,MYS,2021,100.0,4.26109409332275,4.64,4.64
487,MYS,2022,100.0,3.49933791160583,3.93,3.93
488,MYS,2023,,3.62725496292114,3.869,
489,NAC,2021,100.0,5.08844995498657,5.59214283036202,5.59214283036202
490,NAC,2022,100.0,4.13957166671753,3.83340806531303,3.83352065467172
491,NAC,2023,,,3.84181538522376,3.84181538522376
492,NAM,2021,55.2,10.3914480209351,20.922,
493,NAM,2022,56.2,9.67791175842285,19.695,
494,NAM,2023,,9.04451274871826,19.365,
495,NCL,2021,100.0,,11.54,
496,NCL,2022,100.0,,10.71,10.71
497,NCL,2023,,,10.939,
498,NER,2021,18.6,3.82175827026367,0.78,
499,NER,2022,19.5,4.10143089294434,0.418,0.403
500,NER,2023,,,0.425,
501,NGA,2021,59.5,0.381919115781784,5.45,
502,NGA,2022,60.5,0.348516702651978,3.821,3.827
503,NGA,2023,,,3.074,3.074
504,NIC,2021,86.3,4.08665704727173,6.118,
505,NIC,2022,86.5,3.79476308822632,4.961,
506,NIC,2023,,,4.716,
507,NLD,2021,100.0,5.50609016418457,4.209,4.209
508,NLD,2022,100.0,5.05201101303101,3.526,3.526
509,NLD,2023,,,3.537,3.537
510,NOR,2021,100.0,6.9602198600769,4.359,4.359
511,NOR,2022,100.0,3.96801972389221,3.231,3.231
512,NOR,2023,,,3.572,3.573
513,NPL,2021,89.9,3.95612215995789,12.186,
514,NPL,2022,91.3,3.61778378486633,10.844,
515,NPL,2023,,3.68125796318054,10.628,
516,NRU,2021,100.0,6.21887111663818,,5.056
517,NRU,2022,100.0,7.80539798736572,,
518,NZL,2021,100.0,5.54822015762329,3.776,3.776
519,NZL,2022,100.0,5.23012018203735,3.297,3.297
520,NZL,2023,,,3.729,3.731
521,OED,2021,100.0,5.03708982467651,6.19286372183563,6.19087638108577
522,OED,2022,100.0,,4.98675187674652,4.98996050715383
523,OED,2023,,,4.82832486149894,4.82898156053658
524,OMN,2021,100.0,,1.9,1.9
525,OMN,2022,100.0,4.19907999038696,3.3,3.3
526,OMN,2023,,,3.176,
527,OSS,2021,94.5120438097607,4.95368504524231,8.36606234826282,8.51992612302442
528,OSS,2022,94.605657736354,,7.76505567159181,
529,OSS,2023,,,7.41013147956157,
530,PAK,2021,94.9,1.6874612569809,6.338,6.338
531,PAK,2022,95.0,1.97444903850555,5.485,
532,PAK,2023,,1.86864340305328,5.408,
533,PAN,2021,95.3,3.71141004562378,10.177,10.293
534,PAN,2022,95.0,3.36693000793457,8.086,8.281
535,PAN,2023,,,6.544,6.678
536,PER,2021,95.6,3.92721009254456,5.097,5.097
537,PER,2022,96.2,3.83315992355347,3.85,4.291
538,PER,2023,,4.23516988754272,4.899,4.899
539,PHL,2021,97.5,3.87249755859375,3.398,3.398
540,PHL,2022,94.8,3.57960081100464,2.598,2.598
541,PHL,2023,,3.62368631362915,2.222,
542,PLW,2021,100.0,3.94417095184326,,
543,PLW,2022,100.0,3.57620143890381,,
544,PLW,2023,,3.43726491928101,,
545,PNG,2021,20.9,1.34599995613098,3.003,
546,PNG,2022,19.0,,2.689,2.689
547,PNG,2023,,,2.661,
548,POL,2021,100.0,4.67303991317749,3.268,3.268
549,POL,2022,100.0,,2.811,2.811
550,POL,2023,,,2.743,2.743
551,PRE,2021,50.5171178994713,3.11515331268311,5.82347555930522,
552,PRE,2022,51.1035426781824,3.18863248825074,5.002037370392,
553,PRE,2023,,,4.7006079328224,
554,PRI,2021,100.0,,7.9,7.9
555,PRI,2022,100.0,,6.0,6.0
556,PRI,2023,,,5.725,
557,PRK,2021,52.6,,3.0,
558,PRK,2022,54.7,,2.805,
559,PRK,2023,,,2.831,
560,PRT,2021,100.0,4.78316020965576,6.577,6.577
561,PRT,2022,100.0,,6.011,6.011
562,PRT,2023,,,6.509,6.509
563,PRY,2021,100.0,3.41070008277893,7.311,7.311
564,PRY,2022,100.0,3.39619994163513,6.755,6.755
565,PRY,2023,,3.40649008750916,5.794,5.794
566,PSE,2021,100.0,5.43442010879517,26.39,26.39
567,PSE,2022,100.0,,24.42,24.42
568,PSS,2021,85.6708178235478,,3.18377728754444,
569,PSS,2022,85.6038100577211,,3.26376412674194,
570,PSS,2023,,,3.18108550777285,
571,PST,2021,99.9987685497934,5.03708982467651,5.80308030334844,5.83553449874878
572,PST,2022,100.0,,4.51627598749287,4.54512756420521
573,PST,2023,,,4.46875629524005,4.49598413009182
574,PYF,2021,100.0,,12.531,
575,PYF,2022,100.0,,11.888,
576,PYF,2023,,,11.749,
577,QAT,2021,100.0,,0.14,0.14
578,QAT,2022,100.0,,0.13,0.13
579,QAT,2023,,,0.13,
580,ROU,2021,100.0,3.32452988624573,5.59,5.59
581,ROU,2022,100.0,,5.614,5.614
582,ROU,2023,,,5.589,5.592
583,RUS,2021,100.0,3.99480700492859,4.749,4.749
584,RUS,2022,100.0,4.05402755737305,3.867,3.867
585,RUS,2023,,,3.076,3.076
586,RWA,2021,48.7,5.58984994888306,15.775,15.775
587,RWA,2022,50.6,4.74623012542725,15.084,15.084
588,RWA,2023,,4.92004013061523,12.352,12.352
589,SAS,2021,98.7753119350619,1.83117997646332,6.38900638352055,6.34555814345779
590,SAS,2022,98.2841562590132,1.97444903850555,5.04134225042857,4.79261898520551
591,SAS,2023,,1.84819453954696,4.53316078699426,4.17128758281397
592,SAU,2021,100.0,,6.621,6.621
593,SAU,2022,100.0,,5.589,5.589
594,SAU,2023,,5.11466979980469,4.008,4.008
595,SDN,2021,61.8,,11.044,
596,SDN,2022,63.2,,7.53,7.53
597,SEN,2021,68.0,5.61201000213623,3.44,
598,SEN,2022,67.9,5.98753976821899,2.837,2.837
599,SEN,2023,,,2.8,
600,SGP,2021,100.0,2.82470989227295,4.64,4.64
601,SGP,2022,100.0,2.48891997337341,3.591,3.591
602,SGP,2023,,2.18787837028503,3.444,3.444
603,SLB,2021,76.3,8.33232688903809,0.884,
604,SLB,2022,76.0,8.48737812042236,1.483,
605,SLB,2023,,8.29349040985107,1.455,
606,SLE,2021,27.5,9.44223594665527,3.556,
607,SLE,2022,29.4,8.5391845703125,3.175,
608,SLE,2023,,6.79109716415405,3.153,
609,SLV,2021,97.9,3.57766008377075,4.327,4.327
610,SLV,2022,100.0,3.25634002685547,2.999,2.999
611,SLV,2023,,3.17218995094299,2.992,2.992
612,SMR,2021,100.0,3.10892009735107,,6.34
613,SMR,2022,100.0,3.43181848526001,,4.91
614,SOM,2021,49.3,,19.662,
615,SOM,2022,48.9,,19.05,
616,SOM,2023,,,18.941,
617,SRB,2021,100.0,3.29867005348206,9.843,9.843
618,SRB,2022,100.0,3.23938989639282,8.439,8.439
619,SRB,2023,,,8.268,8.268
620,SSA,2021,50.6525597268546,3.41949439048767,6.9876633959167,
621,SSA,2022,51.5078304918426,3.51197004318237,6.19801853183662,
622,SSA,2023,,,5.88775361694401,
623,SSD,2021,7.7,,14.029,
624,SSD,2022,8.4,,12.545,
625,SSD,2023,,,12.477,
626,SSF,2021,50.6566448640617,3.41949439048767,6.9876633959167,
627,SSF,2022,51.512559668342,3.51197004318237,6.19801853183662,
628,SSF,2023,,,5.88775361694401,
629,SST,2021,93.7884062817589,4.95368504524231,8.32665127077856,
630,SST,2022,93.8741763871044,,7.63719827053479,
631,SST,2023,,,7.24829729410406,
632,STP,2021,78.5,5.51617622375488,9.6,
633,STP,2022,78.0,5.15598058700562,8.992,
634,STP,2023,,,9.071,
635,SUR,2021,98.8,4.13154983520508,8.491,
636,SUR,2022,99.0,3.43460845947266,8.16,
637,SUR,2023,,2.86623334884644,7.631,
638,SVK,2021,100.0,4.79718017578125,6.894,6.894
639,SVK,2022,100.0,,6.143,6.143
640,SVK,2023,,,5.84,5.843
641,SVN,2021,100.0,5.36526012420654,4.744,4.744
642,SVN,2022,100.0,,4.011,4.011
643,SVN,2023,,,3.652,3.652
644,SWE,2021,100.0,7.57219982147217,8.722,8.722
645,SWE,2022,100.0,,7.392,7.392
646,SWE,2023,,,7.611,7.611
647,SWZ,2021,82.9,5.28714895248413,34.153,34.153
648,SWZ,2022,82.3,5.69260597229004,35.359,
649,SWZ,2023,,6.31294202804565,35.086,
650,SXM,2021,100.0,,,
651,SXM,2022,100.0,4.18044137954712,,
652,SYC,2021,100.0,5.62358999252319,,
653,SYC,2022,100.0,4.74013519287109,,
654,SYC,2023,,,,2.934
655,SYR,2021,88.8,,14.877,
656,SYR,2022,89.0,,13.268,
657,SYR,2023,,,13.187,
658,TCA,2021,100.0,4.10662603378296,,
659,TCA,2022,99.9,4.10991382598877,,
660,TCA,2023,,3.13524532318115,,
661,TCD,2021,11.3,2.8881299495697,1.548,
662,TCD,2022,11.7,2.53867292404175,1.096,
663,TCD,2023,,,1.074,
664,TEA,2021,98.5259377999818,2.98212432861328,4.13976979107785,4.54934786668444
665,TEA,2022,98.5710601814202,2.88738679885864,4.24554875686716,
666,TEA,2023,,2.95115232467651,3.99023937769226,
667,TEC,2021,99.976264552949,4.09644508361816,6.8319668511332,6.87292585973707
668,TEC,2022,99.9954476985528,4.05402755737305,5.68431126209161,5.59650990495909
669,TEC,2023,,,5.16074258293559,4.99278220101002
670,TGO,2021,55.7,4.23118162155151,2.333,
671,TGO,2022,57.2,3.79811930656433,1.965,1.965
672,TGO,2023,,,1.948,
673,THA,2021,100.0,2.98212432861328,1.215,1.215
674,THA,2022,99.9,2.61187028884888,0.94,0.94
675,THA,2023,,2.52122211456299,0.733,0.733
676,TJK,2021,99.6,5.70163345336914,12.333,
677,TJK,2022,100.0,5.71509790420532,11.634,
678,TJK,2023,,5.81054592132568,11.546,
679,TKM,2021,100.0,3.8489100933075,4.459,
680,TKM,2022,100.0,3.73386001586914,4.109,
681,TKM,2023,,2.74651002883911,4.099,
682,TLA,2021,98.2338083621938,4.08665704727173,9.27350464000943,9.27784930245111
683,TLA,2022,98.5448799242171,3.79476308822632,6.99769011843402,6.95117682522603
684,TLA,2023,,,6.27705803055615,6.15784507025215
685,TLS,2021,100.0,2.9738941192627,2.344,2.344
686,TLS,2022,99.7,,1.537,1.537
687,TLS,2023,,,1.521,
688,TMN,2021,96.5786857276607,,11.5984181323461,10.2374878250118
689,TMN,2022,96.6737042403046,,11.0310304277689,
690,TMN,2023,,,10.8670875152924,
691,TON,2021,100.0,4.92703914642334,2.111,2.111
692,TON,2022,100.0,5.64619207382202,2.302,
693,TON,2023,,5.14565324783325,2.262,
694,TSA,2021,98.775311935062,1.83117997646332,6.38900638352055,6.34555814345779
695,TSA,2022,98.2841562590132,1.97444903850555,5.04134225042857,4.79261898520551
696,TSA,2023,,1.84819453954696,4.53316078699426,4.17128758281397
697,TSS,2021,50.6566448640617,3.41949439048767,6.9876633959167,
698,TSS,2022,51.512559668342,3.51197004318237,6.19801853183662,
699,TSS,2023,,,5.88775361694401,
700,TTO,2021,100.0,3.00432991981506,4.446,4.446
701,TTO,2022,100.0,2.87970423698425,4.383,4.383
702,TTO,2023,,,4.21,3.362
703,TUN,2021,99.9,6.67984676361084,16.611,
704,TUN,2022,100.0,6.8049898147583,15.3,15.301
705,TUN,2023,,6.73398876190186,15.106,15.106
706,TUR,2021,100.0,3.53787994384766,11.969,11.969
707,TUR,2022,100.0,2.61430358886719,10.465,10.465
708,TUR,2023,,,9.388,9.388
709,TUV,2021,99.7,,,
710,TUV,2022,100.0,,,7.318
711,TUV,2023,,12.8456897735596,,
712,TZA,2021,42.7,3.11515331268311,2.821,
713,TZA,2022,45.8,3.23824501037598,2.588,
714,TZA,2023,,3.26015281677246,2.582,
715,UGA,2021,45.2,2.63593602180481,3.422,3.422
716,UGA,2022,47.1,2.56105017662048,2.886,
717,UGA,2023,,2.55159378051758,2.787,
718,UKR,2021,100.0,5.14011001586914,9.834,9.834
719,UKR,2022,100.0,5.93389987945557,,
720,UMC,2021,99.3931573305582,3.95776760578156,6.43315019951925,6.65332384797172
721,UMC,2022,99.4658003895695,3.74442005157471,6.05837753228876,
722,UMC,2023,,3.73861002922058,5.67666999727191,
723,URY,2021,100.0,4.46065998077393,9.328,9.328
724,URY,2022,100.0,4.5073299407959,7.877,7.877
725,URY,2023,,,8.355,8.355
726,USA,2021,100.0,5.42829990386963,5.349,5.349
727,USA,2022,100.0,,3.65,3.65
728,USA,2023,,,3.638,3.638
729,UZB,2021,99.9,5.36828899383545,5.364,
730,UZB,2022,100.0,5.23477172851562,4.49,
731,UZB,2023,,5.47287607192993,4.46,
732,VCT,2021,100.0,,20.341,
733,VCT,2022,100.0,7.20952939987183,19.417,
734,VCT,2023,,,18.574,
735,VEN,2021,100.0,,7.037,
736,VEN,2022,100.0,,5.707,
737,VEN,2023,,,5.485,
738,VGB,2021,100.0,2.86991333961487,,
739,VGB,2022,100.0,2.48401999473572,,
740,VIR,2021,100.0,,14.273,
741,VIR,2022,100.0,,13.007,
742,VIR,2023,,,12.32,
743,VNM,2021,100.0,2.94517493247986,2.385,2.385
744,VNM,2022,100.0,2.88738679885864,1.523,1.523
745,VNM,2023,,,1.645,1.645
746,VUT,2021,70.0,10.1102409362793,4.766,
747,VUT,2022,70.0,10.7033452987671,5.143,
748,VUT,2023,,10.6434001922607,5.082,
749,WLD,2021,91.3349919924229,4.24035573005676,6.06444597897447,6.2082373429593
750,WLD,2022,91.277853325244,3.7748715877533,5.26071088886287,
751,WLD,2023,,,4.91657221632923,
752,WSM,2021,98.3,5.2044882774353,6.612,
753,WSM,2022,98.3,4.88079118728638,5.048,5.048
754,WSM,2023,,6.1134729385376,4.977,
755,XKX,2021,,,,20.392
756,XKX,2022,,,,12.093
757,YEM,2021,74.9,,18.287,
758,YEM,2022,76.0,,17.363,
759,YEM,2023,,,17.091,
760,ZAF,2021,89.3,6.54902982711792,34.007,34.007
761,ZAF,2022,86.5,6.16726016998291,33.268,33.268
762,ZAF,2023,,6.14838981628418,32.098,32.098
763,ZMB,2021,46.7,3.10643219947815,5.199,5.197
764,ZMB,2022,47.8,3.58259510993958,5.995,5.993
765,ZMB,2023,,,5.905,5.861
766,ZWE,2021,49.0,,9.54,9.54
767,ZWE,2022,50.1,,10.087,10.087
768,ZWE,2023,,,8.759,9.348
